date,TCS,INFY,WIPRO,HDFCBANK,ICICIBANK,KOTAKBANK,RELIANCE,ONGC,BPCL,HINDUNILVR,NESTLEIND,BRITANNIA,SUNPHARMA,DRREDDY,CIPLA
2019-01-01,2200.0,900.0,400.0,1200.0,500.0,1500.0,1500.0,120.0,350.0,2000.0,15000.0,3500.0,600.0,3500.0,700.0
2019-01-02,2253.76,920.58,404.65,1223.34,503.7,1531.14,1528.73,121.03,360.37,2040.73,15244.45,3610.31,607.41,3553.63,699.09
2019-01-03,2232.13,913.68,402.33,1223.64,507.81,1533.6,1555.99,122.32,372.59,2058.84,15123.15,3597.94,613.4,3522.21,704.72
2019-01-04,2246.9,917.56,401.35,1200.43,499.19,1527.65,1550.67,119.85,370.41,2061.26,15005.24,3584.68,612.29,3502.12,696.88
2019-01-07,2264.27,933.41,409.36,1188.32,490.23,1517.45,1566.1,121.58,384.93,2082.75,15021.61,3664.51,621.47,3466.92,706.18
2019-01-08,2243.76,925.23,403.84,1183.7,501.77,1502.26,1572.88,119.43,384.67,2098.8,15117.24,3631.28,620.41,3463.17,702.08
2019-01-09,2251.31,928.14,402.56,1220.03,517.27,1510.86,1581.61,119.27,392.38,2107.56,15168.01,3634.45,631.0,3487.59,710.64
2019-01-10,2239.3,918.49,406.73,1224.59,509.84,1514.34,1628.02,123.41,395.73,2098.54,15364.0,3659.03,635.3,3522.4,706.78
2019-01-11,2239.04,888.0,399.33,1205.13,497.23,1518.86,1582.31,119.17,385.08,2105.6,15187.61,3673.1,623.36,3495.02,693.45
2019-01-14,2246.09,884.65,400.08,1198.26,496.02,1523.9,1611.85,118.95,396.14,2076.45,14997.74,3652.97,625.09,3471.28,687.43
2019-01-15,2233.6,875.89,400.68,1200.58,491.95,1530.96,1620.81,120.58,398.68,2058.62,14856.26,3656.08,625.26,3474.17,688.9
2019-01-16,2271.29,881.27,408.27,1204.33,492.67,1550.23,1649.06,123.55,410.53,2075.14,14985.95,3703.16,633.28,3485.46,692.92
2019-01-17,2289.84,879.1,418.7,1192.23,481.72,1545.96,1674.39,125.72,416.49,2072.57,14884.31,3719.8,626.81,3482.62,690.75
2019-01-18,2267.59,870.21,416.28,1177.94,472.21,1530.02,1670.07,124.28,411.03,2062.67,14691.11,3656.53,615.9,3433.72,681.25
2019-01-21,2311.6,890.53,423.83,1190.68,471.8,1538.4,1673.93,125.31,411.74,2088.76,14995.24,3719.54,626.2,3496.94,688.19
2019-01-22,2319.6,893.08,425.53,1180.37,469.19,1537.35,1702.22,128.33,426.23,2085.27,15017.07,3736.47,644.72,3509.14,689.26
2019-01-23,2303.62,869.32,418.42,1155.65,462.66,1524.2,1720.17,129.97,429.3,2060.7,15046.2,3674.2,652.74,3559.7,685.91
2019-01-24,2255.86,868.71,411.5,1170.86,457.36,1514.63,1711.73,129.64,423.66,2069.55,14939.65,3661.85,649.19,3570.88,692.08
2019-01-25,2225.53,846.77,409.84,1165.7,450.5,1521.8,1714.18,131.32,421.29,2092.79,15155.39,3742.91,655.46,3571.47,699.98
2019-01-28,2200.04,846.02,410.41,1137.25,435.38,1460.21,1691.57,130.28,422.14,2079.85,15165.63,3705.97,637.17,3434.2,690.63
2019-01-29,2200.53,828.24,407.93,1109.33,430.97,1447.81,1662.06,126.95,411.14,2054.66,15185.89,3663.12,636.05,3397.6,675.15
2019-01-30,2198.96,819.09,404.39,1086.47,434.5,1442.14,1642.06,125.71,407.11,2036.25,15183.48,3648.23,629.5,3356.89,666.62
2019-01-31,2137.46,790.07,397.75,1094.73,433.29,1447.24,1646.58,130.51,411.21,2023.43,15008.66,3602.74,621.67,3280.6,653.79
2019-02-01,2121.46,777.15,400.34,1103.24,434.44,1468.32,1661.98,130.22,414.22,2026.85,14826.34,3621.77,615.04,3203.07,649.78
2019-02-04,2174.5,779.8,410.09,1100.46,432.4,1460.89,1651.3,129.29,412.75,2035.9,14944.88,3631.64,609.64,3194.88,651.57
2019-02-05,2189.65,775.93,411.99,1111.67,427.63,1470.15,1639.74,129.34,408.68,2005.5,14731.24,3583.36,604.26,3197.55,651.47
2019-02-06,2145.66,764.31,399.72,1090.76,421.45,1441.22,1606.92,128.22,400.43,2003.06,14601.5,3540.75,605.12,3162.69,641.08
2019-02-07,2162.69,767.23,403.77,1085.4,420.68,1436.32,1631.5,130.01,408.15,2003.51,14593.9,3525.47,609.77,3170.73,644.34
2019-02-08,2221.39,789.54,413.28,1118.91,429.79,1442.14,1627.55,127.35,409.74,2030.49,14912.28,3586.27,619.54,3233.69,645.32
2019-02-11,2229.41,798.2,409.57,1139.29,438.12,1459.23,1640.34,132.12,418.95,2059.67,15047.18,3584.03,629.2,3266.78,654.1
2019-02-12,2217.44,799.3,409.35,1155.76,439.65,1464.13,1626.7,130.79,415.66,2073.68,14959.52,3610.66,639.03,3312.55,674.97
2019-02-13,2197.32,783.97,397.81,1167.5,446.55,1480.24,1620.57,128.49,422.21,2084.08,14898.71,3624.61,641.12,3315.13,669.86
2019-02-14,2211.82,803.56,407.3,1206.95,454.55,1492.48,1642.54,130.8,431.72,2075.82,15006.49,3654.95,646.33,3280.51,667.71
